1	91	1
1	274	1
1	279	1
2	91	1
2	274	1
3	90	1
3	229	1
3	280	1
3	368	1
4	90	1
4	169	1
4	230	1
4	368	1
5	90	1
5	169	1
5	230	1
5	285	1
5	368	1
6	90	1
6	169	1
6	285	1
6	368	1
7	169	1
7	285	1
7	354	1
8	169	1
8	284	1
8	285	1
8	360	1
8	397	1
9	168	1
9	169	1
9	284	1
9	362	1
9	363	1
9	366	1
10	168	1
10	284	1
10	363	1
10	396	1
11	168	1
11	284	1
11	359	1
11	393	1
12	168	1
12	284	1
12	470	1
13	88	1
13	168	1
13	285	1
13	470	1
14	85	1
14	88	1
14	168	1
14	285	1
14	471	1
15	85	1
15	88	1
15	168	1
15	268	1
15	269	1
15	285	1
15	472	1
16	85	1
16	89	1
16	168	1
16	231	1
16	269	1
16	270	1
16	285	1
16	352	1
16	473	1
17	84	1
17	89	1
17	90	1
17	168	1
17	231	1
17	285	1
17	351	1
17	473	1
18	168	1
18	232	1
18	285	1
18	353	1
19	87	1
19	168	1
19	264	1
19	285	1
19	473	1
19	476	1
20	86	1
20	168	1
20	264	1
20	285	1
20	476	1
21	83	1
21	86	1
21	167	1
21	264	1
21	285	1
21	477	1
21	478	1
21	479	1
21	480	1
22	86	1
22	167	1
22	264	1
22	273	1
22	285	1
23	86	1
23	167	1
23	264	1
23	274	1
23	285	1
24	86	1
24	167	1
24	264	1
24	274	1
24	285	1
24	471	1
24	472	1
25	166	1
25	264	1
25	274	1
25	285	1
26	165	1
26	166	1
26	264	1
26	274	1
26	285	1
27	162	1
27	165	1
27	264	1
27	274	1
27	285	1
28	160	1
28	161	1
28	162	1
28	264	1
28	274	1
28	285	1
29	158	1
29	159	1
29	259	1
29	260	1
29	261	1
29	262	1
29	263	1
29	264	1
29	274	1
29	285	1
30	257	1
30	258	1
30	264	1
30	274	1
30	285	1
31	264	1
31	274	1
31	285	1
32	264	1
32	274	1
32	280	1
32	285	1
33	152	1
33	264	1
33	274	1
33	280	1
33	285	1
34	151	1
34	152	1
34	264	1
34	274	1
34	280	1
34	285	1
35	133	1
35	135	1
35	136	1
35	137	1
35	151	1
35	264	1
35	280	1
35	285	1
36	130	1
36	131	1
36	132	1
36	133	1
36	151	1
36	264	1
36	280	1
36	286	1
37	150	1
37	264	1
37	280	1
37	286	1
38	144	1
38	145	1
38	150	1
38	264	1
